study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
PRJEB55595	SAMEA110745287	ERX9652158	ERR10115002	43777	Pithecia pithecia	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/002/ERR10115002/ERR10115002_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/002/ERR10115002/ERR10115002_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10115002/CZ-MB119_S119_L001_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10115002/CZ-MB119_S119_L001_R2.fastq.gz	
PRJEB55595	SAMEA110745288	ERX9652159	ERR10115003	9509	Ateles geoffroyi	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/003/ERR10115003/ERR10115003_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/003/ERR10115003/ERR10115003_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10115003/CZ-MB12_S12_L001_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10115003/CZ-MB12_S12_L001_R2.fastq.gz	
PRJEB55595	SAMEA110745289	ERX9652160	ERR10115004	43777	Pithecia pithecia	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/004/ERR10115004/ERR10115004_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/004/ERR10115004/ERR10115004_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10115004/CZ-MB120_S120_L001_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10115004/CZ-MB120_S120_L001_R2.fastq.gz	
PRJEB55595	SAMEA110745290	ERX9652161	ERR10115005	87288	Eulemur flavifrons	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/005/ERR10115005/ERR10115005_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/005/ERR10115005/ERR10115005_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10115005/CZ-MB121_S121_L001_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10115005/CZ-MB121_S121_L001_R2.fastq.gz	
PRJEB55595	SAMEA110745291	ERX9652162	ERR10115006	87288	Eulemur flavifrons	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/006/ERR10115006/ERR10115006_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/006/ERR10115006/ERR10115006_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10115006/CZ-MB122_S122_L001_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10115006/CZ-MB122_S122_L001_R2.fastq.gz	
PRJEB55595	SAMEA110745292	ERX9652163	ERR10115007	881951	Saguinus imperator subgrisescens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/007/ERR10115007/ERR10115007_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/007/ERR10115007/ERR10115007_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10115007/CZ-MB124_S124_L001_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10115007/CZ-MB124_S124_L001_R2.fastq.gz	
PRJEB55595	SAMEA110745293	ERX9652164	ERR10115008	881951	Saguinus imperator subgrisescens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/008/ERR10115008/ERR10115008_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/008/ERR10115008/ERR10115008_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10115008/CZ-MB126_S126_L001_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10115008/CZ-MB126_S126_L001_R2.fastq.gz	
PRJEB55595	SAMEA110745294	ERX9652165	ERR10115009	881951	Saguinus imperator subgrisescens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/009/ERR10115009/ERR10115009_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/009/ERR10115009/ERR10115009_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10115009/CZ-MB127_S127_L001_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10115009/CZ-MB127_S127_L001_R2.fastq.gz	
PRJEB55595	SAMEA110745295	ERX9652166	ERR10115010	881951	Saguinus imperator subgrisescens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/010/ERR10115010/ERR10115010_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/010/ERR10115010/ERR10115010_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10115010/CZ-MB128_S128_L001_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10115010/CZ-MB128_S128_L001_R2.fastq.gz	
PRJEB55595	SAMEA110745296	ERX9652167	ERR10115011	9509	Ateles geoffroyi	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/011/ERR10115011/ERR10115011_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/011/ERR10115011/ERR10115011_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10115011/CZ-MB13_S13_L001_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10115011/CZ-MB13_S13_L001_R2.fastq.gz	
